id,topic,type,post_text,status
001,BariaDAO,SelfPromotion,"I’m developing @BariaDAO as an evolving experiment in #CollectiveIntelligence - not a product to ship, but a process to grow.

What happens when coordination is allowed to mature instead of rush?

⬇ https://baria.bparlan.com

Make sure to subscribe to newsletter for future updates!",approved
002,Lombard Ref,RefLink,"Every Thursday I convert dusts and leftover tokens into $LBTC & stake into vault. Those sats are for my retirement...

Stake your $BTC with @Lombard_Finance for being future-proof.

My reflink provides an additional 10% Lux for you!

⬇ https://www.lombard.finance/app/stake/?referrer=m6tdan",approved
003,Metamask Ref,RefLink,"So @MetaMask now lets you bet on wars directly in your wallet

we've reached the ""dystopia but make it self-custodial"" phase of crypto

my ref code if you want in on this: KHG2PA

⬇ https://link.metamask.io/rewards?referral=KHG2PA",approved
004,Teaching,SelfPromotion,"I teach #DigitalLiteracy, #AIPrompting, and #Blockchain starting from how people actually use them — not how whitepapers describe them.

What part of modern tech feels most disconnected from reality to you?

⬇ https://start.bparlan.com",approved
005,Grass Ref,RefLink,"Your idle bandwidth isn’t “wasted” - it’s the missing piece of the #DePIN puzzle.

@grass turns your device into a secure node in a global network, anonymously relaying unused internet to scrape public web data for sovereign AI data rollups. No central gatekeepers. Just pure, privacy-first infrastructure for the intelligence of tomorrow.

Join the network & help build it:
https://app.grass.io/register?referralCode=SRoIUJxSozsADqT

#GrassNetwork",approved
006,Linktree,SelfPromotion,"I keep the things that matter to me — #Tech, #Art, #Writing, experiments — connected in one place.

Do you prefer discovering someone’s work through structure, or intuition?

⬇ https://linktr.ee/bparlan",approved
007,Binance Ref,RefLink,"For better or worse, @Binance is still one of the main gateways into #Crypto for many people. Understanding how these centralized layers work is part of real #DigitalLiteracy.

Sharing my referral link below if you want to explore it yourself

⬇ https://accounts.binance.com/en/register?ref=YKR77QOE%20",approved
008,Personal Website,SelfPromotion,"I still maintain a personal website — hosted on #VPS with support of #opensource #selfhosting solution @coolifyio , outside timelines and algorithms.

Does digital independence still matter in 2026?

⬇ https://bparlan.com/

Make sure to subscribe to newsletter for future updates!",approved
009,digiTale Journey,SelfPromotion,"#digiTaleJourney (v0.9) came out of my exploration of #RemixCulture after stepping away from a PhD.

Can research still be valid outside formal academia?

⬇ https://vimeo.com/450065442",approved
010,Audius Ref,RefLink,"So, @audius lets musicians own their work instead of Spotify owning their souls, which honestly sounds fake in 2026 but here we are...

ref link if you want to test if this is real:

⬇ https://audius.co/signup?rf=bparlan",approved
